-DOCSTART- -X- -X- O
Японии PROPN I-NP B-LocOrg
Наото PROPN I-NP B-Person
Кан PROPN I-NP I-Person
назвал VERB B-VP O
посещение NOUN B-NP O
двух NUM I-NP O
из ADP I-NP O
этих DET I-NP O
островов NOUN I-NP O
министром NOUN I-NP O
обороны NOUN I-NP O
России PROPN B-VP B-LocOrg
Анатолием PROPN I-VP B-Person
Сердюковым PROPN I-VP I-Person
« PROPN I-VP O
в ADP B-NP O
высшей ADJ I-NP O
степени NOUN I-NP O
достойным ADJ B-VP O
сожаления NOUN B-NP O
» PROPN I-NP O
. PUNCT B-VP O

Эта DET B-NP O
поездка NOUN I-NP O
состоялась VERB B-VP O
лишь PART B-NP O
за ADP I-NP O
неделю NOUN I-NP O
до ADP I-NP O
запланированного VERB B-VP O
визита NOUN B-NP O
в ADP B-VP O
Москву PROPN I-VP B-Location
министра NOUN B-NP O
иностранных ADJ I-NP O
дел NOUN I-NP O
Японии PROPN I-NP B-LocOrg
Сейджи PROPN B-VP B-Person
Маехары PROPN I-VP I-Person
. PUNCT I-VP O

Всё PRON B-ROOT O
ТВ PROPN I-ROOT O
в ADP B-NP O
одном NUM I-NP O
флаконе NOUN I-NP O
. PUNCT B-ROOT O

Законно ADV B-NP O
, PUNCT I-NP O
бесплатно ADV I-NP O
, PUNCT I-NP O
онлайн NOUN I-NP O
. PUNCT I-NP O

В ADP B-VP O
Сети PROPN I-VP O
появился VERB I-VP O
новый ADJ B-NP O
сервис NOUN I-NP O
, PUNCT B-VP O
с ADP I-VP O
помощью NOUN B-NP O
которого PRON B-VP O
бесплатно ADV I-VP O
можно ADV I-VP O
просматривать VERB I-VP O
контент NOUN B-NP O
международных ADJ I-NP O
телеканалов NOUN I-NP O
. PUNCT B-VP O

Портал VERB B-VP B-Org
SeeSaw NOUN B-NP I-Org
объединил VERB B-VP O
популярные ADJ B-NP O
телешоу NOUN I-NP O
, PUNCT B-VP O
которые PRON I-VP O
выпускают VERB I-VP O
BBC PROPN I-VP B-Org
, PUNCT I-VP O
Channel PROPN I-VP B-Org
4 NUM I-VP O
и CCONJ B-NP O
канал NOUN I-NP B-Org
Five PROPN I-NP I-Org
. PUNCT B-VP O

К ADP B-NP O
показу NOUN I-NP O
в ADP I-NP O
онлайн-режиме NOUN I-NP O
доступны ADJ B-ROOT O
3 NUM B-NP O
тыс NOUN I-NP O
. PUNCT B-ROOT O

часов NOUN B-NP O
телепрограмм NOUN I-NP O
, PUNCT I-NP O
спортивных ADJ I-NP O
матчей NOUN I-NP O
и CCONJ I-NP O
сериалов NOUN I-NP O
, PUNCT I-NP O
таких DET I-NP O
как SCONJ I-NP O
, PUNCT I-NP O
например ADV I-NP O
, PUNCT I-NP O
The PROPN I-NP O
IT PROPN I-NP O
Crowd PROPN I-NP O
и CCONJ I-NP O
Doctor PROPN I-NP O
Who PROPN I-NP O
. PUNCT I-NP O

Интернет-трансляция NOUN B-NP O
осуществляется VERB B-VP O
на ADP B-NP O
абсолютно ADV I-NP O
легальной ADJ I-NP O
основе NOUN I-NP O
— PROPN B-VP O
с ADP B-NP O
разрешения NOUN I-NP O
правообладателей NOUN I-NP O
. PUNCT B-VP O

Как SCONJ B-VP O
пишет VERB I-VP O
The PROPN I-VP B-Org
Independent PROPN I-VP O
, PUNCT I-VP O
бесплатным ADJ B-NP O
сервис NOUN I-NP O
будет AUX B-VP O
оставаться VERB I-VP O
не PART I-VP O
всегда ADV I-VP O
. PUNCT I-VP O

Со ADP B-NP O
временем NOUN I-NP O
его PRON I-NP O
основатель NOUN I-NP O
Джон PROPN I-NP B-Person
Килинг PROPN I-NP I-Person
намерен ADJ B-ROOT O
монетизировать VERB B-VP O
портал NOUN B-NP O
, PUNCT B-VP O
введя VERB I-VP O
ряд NOUN B-NP O
платных ADJ I-NP O
услуг NOUN I-NP O
. PUNCT B-ROOT O

Не PART B-VP O
исключено VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
деньги NOUN B-NP O
будут AUX B-VP O
взимать VERB I-VP O
с ADP B-NP O
пользователей NOUN I-NP O
за ADP I-NP O
просмотр NOUN I-NP O
так ADV B-VP O
называемого VERB I-VP O
премиум-контента NOUN B-NP O
сериалов NOUN I-NP O
и CCONJ I-NP O
шоу NOUN I-NP O
с ADP I-NP O
самыми ADJ I-NP O
высокими ADJ I-NP O
рейтингами NOUN I-NP O
. PUNCT B-VP O

В ADP B-NP O
интервью NOUN I-NP O
газете NOUN I-NP B-Org
« PROPN B-VP O
Труд PROPN I-VP B-Org
» PROPN I-VP O
академик NOUN B-NP O
Роальд PROPN B-VP B-Person
Зиннурович PROPN I-VP I-Person
Сагдеев PROPN I-VP I-Person
назвал VERB I-VP O
, PUNCT B-NP O
сенсацию NOUN I-NP O
, PUNCT B-VP O
поднятую VERB I-VP O
вокруг ADP B-NP O
добычи NOUN I-NP O
гелия-3 NOUN I-NP O
на ADP B-VP O
Луне PROPN I-VP B-Location
, PUNCT I-VP O
не PART I-VP O
стоящей VERB I-VP O
и CCONJ I-VP O
выеденного VERB I-VP O
яйца NOUN B-NP O
. PUNCT B-VP O

Академик NOUN B-NP O
Сагдеев PROPN I-NP B-Person
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
на ADP I-VP O
недавно ADV I-VP O
прошедших VERB I-VP O
30-х ADJ I-VP O
Королёвских ADJ I-VP O
чтениях NOUN B-NP O
тон NOUN I-NP O
задавали VERB B-VP O
сторонники NOUN B-NP O
лунных ADJ I-NP O
проектов NOUN I-NP O
, PUNCT B-VP O
которые PRON I-VP O
доказывали VERB I-VP O
, PUNCT B-NP O
что SCONJ I-NP O
добыча NOUN I-NP O
гелия-3 NOUN I-NP O
на ADP I-NP O
Луне PROPN I-NP B-Location
выгодная ADJ I-NP O
и CCONJ I-NP O
перспективная ADJ I-NP O
задача NOUN I-NP O
. PUNCT B-VP O

Считается VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
термоядерные ADJ I-VP O
реакторы NOUN B-NP O
, PUNCT I-NP O
работающие VERB B-VP O
на ADP B-NP O
гелии-3 NOUN I-NP O
, PUNCT B-VP O
обеспечат VERB I-VP O
человечество NOUN B-NP O
энергией NOUN I-NP O
на ADP I-NP O
тысячелетия NOUN I-NP O
. PUNCT B-VP O

Планы NOUN B-NP O
создания NOUN I-NP O
базы NOUN I-NP O
на ADP I-NP O
Луне PROPN I-NP B-Location
к ADP I-NP O
2015 NUM I-NP O
году NOUN I-NP O
и CCONJ I-NP O
добыча NOUN I-NP O
и CCONJ I-NP O
транспортировка NOUN I-NP O
гелия-3 NOUN I-NP O
, PUNCT B-VP O
которые PRON I-VP O
были AUX I-VP O
представлены VERB I-VP O
на ADP B-NP O
чтениях NOUN I-NP O
— PROPN B-VP O
совершенно ADV I-VP O
нереальны ADJ I-VP O
. PUNCT B-NP O

Да CCONJ B-VP O
и PART I-VP O
гелий-3 NOUN B-NP O
понадобится VERB B-VP O
не PART I-VP O
ранее ADV I-VP O
чем SCONJ I-VP O
через ADP I-VP O
80 NUM I-VP O
— NOUN B-NP O
100 NUM I-NP O
лет NOUN I-NP O
. PUNCT B-VP O

Академик NOUN B-NP O
Сагдеев PROPN I-NP B-Person
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
всё PRON I-VP O
еще ADV I-VP O
не PART I-VP O
существуют VERB I-VP O
реакторы NOUN B-NP O
, PUNCT B-VP O
работающие VERB I-VP O
на ADP B-NP O
дейтерии NOUN I-NP O
и CCONJ I-NP O
тритии NOUN I-NP O
. PUNCT B-VP O

Хотя SCONJ B-NP O
, PUNCT I-NP O
запасы NOUN I-NP O
дейтерия NOUN I-NP O
в ADP I-NP O
морской ADJ I-NP O
воде NOUN I-NP O
практически ADV I-NP O
неограничены ADJ I-NP O
. PUNCT I-NP O

Для ADP B-NP O
создания NOUN I-NP O
термоядерного ADJ I-NP O
реактора NOUN I-NP O
, PUNCT B-VP O
работающего VERB I-VP O
на ADP B-NP O
гелии-3 NOUN I-NP O
, PUNCT I-NP O
понадобится VERB B-VP O
ещё ADV B-NP O
около ADP I-NP O
100 NUM I-NP O
лет NOUN I-NP O
. PUNCT B-VP O

« NOUN B-NP O
Словом NOUN I-NP O
, PUNCT I-NP O
построение NOUN I-NP O
гелиевого ADJ I-NP O
реактора NOUN I-NP O
— PROPN I-NP O
задача NOUN I-NP O
даже PART I-NP O
не PART I-NP O
XXI NUM I-NP O
, PUNCT I-NP O
а CCONJ I-NP O
XXII NUM I-NP O
века NOUN I-NP O
» ADJ B-VP O
— NOUN B-NP O
говорит VERB B-VP O
Сагдеев PROPN I-VP B-Person
. PUNCT I-VP O

Поэтому ADV B-NP O
планы NOUN I-NP O
создания NOUN I-NP O
базы NOUN I-NP O
на ADP I-NP O
Луне PROPN I-NP B-Location
и CCONJ I-NP O
добыча NOUN I-NP O
там ADV I-NP O
гелия-3 ADJ I-NP O
— NOUN I-NP O
это PRON I-NP O
иллюзия NOUN I-NP O
: PUNCT I-NP O
« NOUN I-NP O
На ADP I-NP O
самом ADJ I-NP O
деле NOUN I-NP O
вся DET I-NP O
эта DET I-NP O
шумиха NOUN I-NP O
, PUNCT B-VP O
связанная VERB I-VP O
с ADP B-NP O
предложением NOUN I-NP O
добывать VERB B-VP O
гелий-3 NOUN B-NP O
на ADP B-VP O
Луне PROPN I-VP B-Location
, PUNCT B-NP O
не PART B-VP O
стоит VERB I-VP O
и CCONJ I-VP O
выеденного VERB I-VP O
яйца NOUN B-NP O
» PROPN B-VP O
. PUNCT I-VP O

Слова NOUN B-NP O
Сагдеева PROPN I-NP B-Person
из ADP I-NP O
интервью NOUN I-NP O
: PUNCT I-NP O
« PROPN I-NP O
Когда SCONJ I-NP O
о ADP I-NP O
добыче NOUN I-NP O
гелия-3 NOUN I-NP O
на ADP I-NP O
Луне PROPN I-NP B-Location
рассказывает VERB B-VP O
, PUNCT I-VP O
например ADV B-NP O
, PUNCT I-NP O
руководитель NOUN I-NP O
РКК PROPN I-NP B-Org
„ PROPN I-NP O
Энергия PROPN I-NP B-Org
“ PROPN I-NP O
Николай PROPN I-NP B-Person
Севастьянов PROPN I-NP I-Person
, PUNCT I-NP O
я PRON B-ROOT O
внутренне ADV I-ROOT O
улыбаюсь VERB B-VP O
и CCONJ I-VP O
даже PART I-VP O
где-то ADV I-VP O
сочувствую VERB I-VP O
такому DET B-NP O
увлеченному ADJ I-NP O
человеку NOUN I-NP O
, PUNCT B-VP O
оказавшемуся VERB I-VP O
, PUNCT I-VP O
как ADV B-ROOT O
это PRON I-ROOT O
ни PART I-ROOT O
удивительно ADJ I-ROOT O
, PUNCT I-ROOT O
в ADP B-NP O
плену NOUN I-NP O
иллюзий NOUN I-NP O
» PROPN B-ROOT O
. PUNCT I-ROOT O

Владимир NOUN B-NP B-Person
Путин PROPN I-NP I-Person
согласился VERB B-VP O
занять VERB I-VP O
пост NOUN B-NP O
премьер-министра NOUN I-NP O
РФ PROPN I-NP B-LocOrg
в ADP I-NP O
случае NOUN I-NP O
, PUNCT B-VP O
если SCONJ I-VP O
Дмитрий PROPN I-VP B-Person
Медведев PROPN I-VP I-Person
выиграет VERB I-VP O
грядущие ADJ B-NP O
президентские ADJ I-NP O
выборы NOUN I-NP O
. PUNCT B-VP O

Об ADP B-VP O
этом PRON I-VP O
нынешний ADJ B-NP O
российский ADJ I-NP O
президент NOUN I-NP O
заявил VERB B-VP O
, PUNCT I-VP O
выступая VERB I-VP O
на ADP B-NP O
VII NUM I-NP O
съезде NOUN I-NP O
партии NOUN I-NP B-Org
« PROPN I-NP O
Единая ADJ I-NP B-Org
Россия PROPN I-NP B-LocOrg
» PROPN I-NP O
, PUNCT B-VP O
где ADV I-VP O
также ADV I-VP O
было AUX I-VP O
официально ADV I-VP O
объявлено VERB I-VP O
о ADP B-NP O
выдвижении NOUN I-NP O
Медведева PROPN I-NP B-Person
кандидатом NOUN I-NP O
. PUNCT B-VP O

О ADP B-VP O
том PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
будет AUX I-VP O
выдвинут VERB I-VP O
именно PART I-VP O
он PRON I-VP O
, PUNCT I-VP O
стало VERB I-VP O
известно ADJ I-VP O
10 NUM I-VP O
декабря NOUN B-NP O
, PUNCT B-VP O
днём NOUN B-NP O
позже ADV I-NP O
Медведев PROPN B-VP B-Person
предложил VERB I-VP O
Путину PROPN I-VP B-Person
премьерский ADJ B-NP O
пост NOUN I-NP O
в ADP I-NP O
случае NOUN I-NP O
своей DET I-NP O
победы NOUN I-NP O
. PUNCT B-VP O

Ранее ADV B-VP O
в ADP B-NP O
декабре NOUN I-NP O
появилась VERB B-VP O
информация NOUN B-NP O
о ADP I-NP O
том PRON I-NP O
, PUNCT B-VP O
что SCONJ I-VP O
Путин PROPN I-VP B-Person
после ADP B-NP O
ухода NOUN I-NP O
с ADP I-NP O
поста NOUN I-NP O
президента NOUN I-NP O
может VERB B-VP O
возглавить VERB I-VP O
союзное ADJ B-NP B-Org
государство NOUN I-NP I-Org
России PROPN I-NP B-LocOrg
и CCONJ I-NP O
Белоруссии PROPN I-NP B-LocOrg
, PUNCT B-VP O
но CCONJ I-VP O
она PRON I-VP O
была AUX I-VP O
опровергнута VERB I-VP O
официальными ADJ B-NP O
представителями NOUN I-NP O
Путина PROPN I-NP B-Person
. PUNCT B-VP O

« NOUN B-NP O
Билайн PROPN B-VP B-Org
» PROPN I-VP O
( PUNCT I-VP O
ОАО PROPN I-VP B-Org
« X I-VP O
ВымпелКом X I-VP B-Org
» X I-VP O
) PUNCT I-VP O
в ADP B-NP O
ближайшее ADJ I-NP O
время NOUN I-NP O
объявит VERB B-VP O
о ADP B-NP O
присоединении NOUN I-NP O
к ADP I-NP O
проекту NOUN I-NP B-Org
0.facebook.com NOUN I-NP I-Org
крупнейшей ADJ I-NP O
в ADP I-NP O
мире NOUN I-NP O
социальной ADJ I-NP B-Org
сети NOUN I-NP O
Facebook PROPN I-NP B-Org
( PUNCT B-VP O
более ADV B-NP O
400 NUM I-NP O
млн NOUN I-NP O
активных ADJ I-NP O
пользователей NOUN I-NP O
) PUNCT I-NP O
. PUNCT B-VP O

В ADP B-NP O
рамках NOUN I-NP O
этого DET I-NP O
проекта NOUN I-NP O
« PROPN I-NP O
Фэйсбук PROPN B-VP B-Org
» PROPN I-VP O
предоставляет VERB I-VP O
бесплатный ADJ I-VP O
доступ NOUN B-NP O
к ADP I-NP O
мобильной ADJ I-NP O
версии NOUN I-NP O
своего DET I-NP O
портала NOUN I-NP O
абонентам NOUN I-NP O
многих ADJ I-NP O
сотовых ADJ I-NP O
операторов NOUN I-NP O
. PUNCT I-NP O

Facebook PROPN B-VP B-Org
позволяет VERB I-VP O
создать VERB I-VP O
профиль NOUN B-NP O
с ADP I-NP O
фотографиями NOUN I-NP O
, PUNCT B-VP O
приглашать VERB I-VP O
друзей NOUN B-NP O
, PUNCT B-VP O
обмениваться VERB I-VP O
сообщениями NOUN B-NP O
, PUNCT B-VP O
оповещать VERB I-VP O
других ADJ B-NP O
пользователей NOUN I-NP O
о ADP I-NP O
статусе NOUN I-NP O
. PUNCT B-VP O

Facebook PROPN B-VP B-Org
также ADV I-VP O
предоставляет VERB I-VP O
возможность NOUN B-NP O
создавать VERB B-VP O
группы NOUN B-NP O
по ADP I-NP O
интересам NOUN I-NP O
. PUNCT B-VP O

В ADP B-NP O
2007 NUM I-NP O
году NOUN I-NP O
Facebook PROPN B-VP B-Org
объявил VERB I-VP O
о ADP B-NP O
инициативе NOUN I-NP O
, PUNCT B-VP O
позволяющей VERB I-VP O
сторонним ADJ B-NP O
программистам NOUN I-NP O
создавать VERB B-VP O
программы NOUN B-NP O
для ADP I-NP O
определенных ADJ I-NP O
услуг NOUN I-NP O
и CCONJ B-VP O
зарабатывать VERB I-VP O
на ADP I-VP O
этом PRON I-VP O
. PUNCT I-VP O

Данная ADJ B-NP O
акция NOUN I-NP O
позволила VERB B-VP O
интегрировать VERB I-VP O
многочисленные ADJ B-NP O
функции NOUN I-NP O
( PUNCT I-NP O
игры NOUN I-NP O
, PUNCT I-NP O
инструменты NOUN I-NP O
обмена NOUN I-NP O
музыкой NOUN I-NP O
и CCONJ I-NP O
фотографиями NOUN I-NP O
) PUNCT I-NP O
, PUNCT B-VP O
что SCONJ I-VP O
в ADP B-NP O
свою DET I-NP O
очередь NOUN I-NP O
стимулировало VERB B-VP O
активность NOUN B-NP O
пользователей NOUN I-NP O
. PUNCT B-VP O

Facebook PROPN B-VP B-Org
предлагает VERB I-VP O
множество NOUN B-NP O
функций NOUN I-NP O
, PUNCT I-NP O
с ADP I-NP O
помощью NOUN I-NP O
которых PRON I-NP O
пользователи NOUN I-NP O
могут VERB B-VP O
взаимодействовать VERB I-VP O
. PUNCT I-VP O

Среди ADP B-NP O
наиболее ADV I-NP O
популярных ADJ I-NP O
— NOUN I-NP O
виртуальное ADJ I-NP O
подмигивание NOUN I-NP O
, PUNCT I-NP O
фотоальбомы NOUN I-NP O
и CCONJ I-NP O
« NOUN I-NP O
стена NOUN I-NP O
» PROPN B-ROOT O
, PUNCT B-VP O
на ADP I-VP O
которой PRON I-VP O
друзья NOUN B-NP O
пользователя NOUN I-NP O
могут VERB B-VP O
оставлять VERB I-VP O
сообщения NOUN B-NP O
. PUNCT B-ROOT O

Пользователь NOUN B-NP O
может VERB B-VP O
контролировать VERB I-VP O
уровень NOUN B-NP O
доступа NOUN I-NP O
к ADP I-NP O
информации NOUN I-NP O
, PUNCT B-VP O
опубликованной VERB I-VP O
на ADP B-NP O
профиле NOUN I-NP O
, PUNCT B-VP O
и CCONJ I-VP O
определять VERB I-VP O
, PUNCT I-VP O
кто PRON I-VP O
имеет VERB I-VP O
доступ NOUN B-NP O
к ADP I-NP O
той DET I-NP O
или CCONJ I-NP O
иной ADJ I-NP O
части NOUN I-NP O
. PUNCT B-VP O

Как SCONJ B-VP O
сообщается VERB I-VP O
на ADP B-NP O
сайте NOUN I-NP B-Org
Roem.ru NOUN I-NP I-Org
, PUNCT B-VP O
сейчас ADV I-VP O
не PART I-VP O
платить VERB I-VP O
за ADP B-NP O
трафик NOUN I-NP O
на ADP B-VP O
Facebook PROPN I-VP B-Org
могут VERB I-VP O
абоненты NOUN B-NP O
50 NUM I-NP O
сотовых ADJ I-NP O
операторов NOUN I-NP O
в ADP I-NP O
45 NUM I-NP O
странах NOUN I-NP O
. PUNCT B-VP O

« NOUN B-NP O
Билайн PROPN B-VP B-Org
» PROPN I-VP O
станет VERB I-VP O
первым ADJ I-VP O
российским ADJ I-VP O
сотовым ADJ I-VP O
оператором NOUN B-NP O
, PUNCT B-VP O
присоединившимся VERB I-VP O
к ADP B-NP O
этому DET I-NP O
проекту NOUN I-NP O
. PUNCT B-VP O

Валерий NOUN B-NP B-Person
Зорькин PROPN I-NP I-Person
, PUNCT I-NP O
председатель NOUN I-NP O
Конституционного ADJ I-NP B-Org
суда NOUN I-NP I-Org
, PUNCT I-NP O
высказал VERB B-VP O
сомнения NOUN B-NP O
в ADP I-NP O
правильности NOUN I-NP O
решения NOUN I-NP O
о ADP I-NP O
переезде NOUN I-NP O
суда NOUN I-NP O
в ADP I-NP O
Петербург PROPN I-NP B-Location
. PUNCT B-VP O

Хотя SCONJ B-VP O
Дума PROPN I-VP B-Org
уже ADV I-VP O
одобрила VERB I-VP O
соответствующий ADJ B-NP O
законопроект NOUN I-NP O
в ADP I-NP O
первом ADJ I-NP O
чтении NOUN I-NP O
, PUNCT B-VP O
Зорькин PROPN I-VP B-Person
надеется VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
Дума PROPN I-VP B-Org
ещё ADV B-NP O
раз NOUN I-NP O
всё PRON I-NP O
обдумает VERB B-VP O
и CCONJ I-VP O
перерешит VERB I-VP O
. PUNCT I-VP O

Во ADP B-VP O
время NOUN B-NP O
недавнего ADJ B-VP O
посещения NOUN B-NP O
, PUNCT B-VP O
предназначенного VERB I-VP O
для ADP I-VP O
Конституционного ADJ I-VP B-Org
суда NOUN B-NP I-Org
комплекса NOUN I-NP B-Location
зданий NOUN I-NP O
Сената PROPN I-NP B-Location
и CCONJ I-NP O
Синода PROPN I-NP B-Org
, PUNCT B-VP O
Зорькин PROPN I-VP B-Person
сказал VERB I-VP O
, PUNCT B-NP O
что SCONJ I-NP O
переезд NOUN I-NP O
повлечёт VERB B-VP O
за ADP B-NP O
собой PRON I-NP O
перерыв NOUN I-NP O
в ADP I-NP O
работе NOUN I-NP O
суда NOUN I-NP O
и CCONJ B-VP O
спровоцирует VERB I-VP O
персональные ADJ B-NP O
проблемы NOUN I-NP O
. PUNCT B-VP O

Не PART B-NP O
все DET I-NP O
опытные ADJ I-NP O
члены NOUN I-NP O
суда NOUN I-NP O
готовы ADJ B-ROOT O
уехать VERB B-VP O
из ADP I-VP O
Москвы PROPN I-VP B-Location
. PUNCT B-ROOT O

Судьи NOUN B-NP O
для ADP I-NP O
высшего ADJ I-NP O
суда NOUN I-NP O
страны NOUN I-NP O
были AUX B-VP O
найдены VERB I-VP O
не PART B-NP O
на ADP I-NP O
улице NOUN I-NP O
, PUNCT B-VP O
они PRON I-VP O
были AUX I-VP O
подобраны VERB I-VP O
в ADP B-NP O
индивидуальном ADJ I-NP O
порядке NOUN I-NP O
. PUNCT B-VP O

После ADP B-NP O
первой ADJ I-NP O
инспекции NOUN I-NP O
предложенного VERB B-VP O
для ADP I-VP O
Конституционного ADJ I-VP B-Org
суда NOUN B-NP I-Org
здания NOUN I-NP O
( PUNCT I-NP O
из ADP I-NP O
которого PRON I-NP O
в ADP I-NP O
настоящий ADJ I-NP O
момент NOUN I-NP O
переезжает VERB B-VP O
Исторический ADJ B-NP B-Org
государственный ADJ I-NP O
архив NOUN I-NP B-Org
) PUNCT I-NP O
в ADP I-NP O
конце NOUN I-NP O
2005 NUM I-NP O
года NOUN I-NP O
Зорькин PROPN I-NP B-Person
высказывался VERB B-VP O
о ADP B-NP O
проекте NOUN I-NP O
положительно ADV I-NP O
. PUNCT I-NP O

Но CCONJ B-VP O
тогда ADV I-VP O
при ADP I-VP O
этом PRON I-VP O
присутствовал VERB I-VP O
президент NOUN B-NP O
Путин PROPN I-NP B-Person
, PUNCT B-VP O
который PRON I-VP O
поддерживает VERB I-VP O
идею NOUN B-NP O
переезда NOUN I-NP O
, PUNCT I-NP O
в ADP I-NP O
целях NOUN I-NP O
поднятия NOUN I-NP O
статуса NOUN I-NP O
Петербурга PROPN I-NP B-Location
как SCONJ I-NP O
« PROPN I-NP O
второй ADJ I-NP O
столицы NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

Служба NOUN B-NP B-Org
прессы NOUN I-NP O
Конституционного ADJ I-NP B-Org
суда NOUN I-NP I-Org
пытается VERB B-VP O
нейтрализовать VERB I-VP O
высказывание NOUN B-NP O
Зорькина PROPN I-NP B-Person
. PUNCT B-VP O

Судья NOUN B-NP O
Зорькин PROPN I-NP B-Person
ещё ADV B-VP O
не PART I-VP O
высказал VERB I-VP O
свою DET B-NP O
точку NOUN I-NP O
зрения NOUN I-NP O
однозначно ADV I-NP O
за ADP I-NP O
переезд NOUN I-NP O
или CCONJ I-NP O
против ADP I-NP O
, PUNCT B-VP O
так ADV I-VP O
как SCONJ I-VP O
вопрос NOUN B-NP O
находится VERB B-VP O
в ADP B-NP O
компетенции NOUN I-NP O
Думы PROPN I-NP B-Org
. PUNCT B-VP O

Но CCONJ B-VP O
, PUNCT I-VP O
он PRON I-VP O
всегда ADV I-VP O
указывал VERB I-VP O
на ADP B-NP O
возможные ADJ I-NP O
персональные ADJ I-NP O
трудности NOUN I-NP O
. PUNCT B-VP O

Замглавы NOUN B-NP O
Федеральной ADJ I-NP B-Org
миграционной ADJ I-NP O
службы NOUN I-NP B-Org
России PROPN I-NP B-LocOrg
Михаил PROPN I-NP B-Person
Тюркин PROPN I-NP I-Person
заявил VERB B-VP O
о ADP I-VP O
том PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
с ADP I-VP O
1 NUM I-VP O
января NOUN B-NP O
2008 NUM B-VP O
граждане NOUN B-NP O
России PROPN I-NP B-LocOrg
смогут VERB B-VP O
получить VERB I-VP O
новые ADJ I-VP O
биометрические ADJ I-VP O
загранпаспорта NOUN B-NP O
, PUNCT B-VP O
их PRON B-NP O
стоимость NOUN I-NP O
составит VERB B-VP O
1000 NUM B-NP O
рублей NOUN I-NP O
. PUNCT B-VP O

Также ADV B-VP O
он PRON I-VP O
сообщил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
в ADP I-VP O
настоящее ADJ I-VP O
время NOUN B-NP O
завершена VERB B-VP O
работа NOUN B-NP O
по ADP I-NP O
выдаче NOUN I-NP O
новых ADJ I-NP O
паспортов NOUN I-NP O
в ADP I-NP O
« NOUN I-NP O
пилотных ADJ I-NP O
» NOUN I-NP O
зонах NOUN I-NP O
— PROPN I-NP O
Москве PROPN I-NP B-Location
, PUNCT I-NP O
Санкт-Петербурге PROPN I-NP B-Location
и CCONJ I-NP O
Калининграде PROPN I-NP B-Location
. PUNCT B-VP O

Кроме ADP B-NP O
чипа NOUN I-NP O
, PUNCT I-NP O
возможно ADV B-VP O
, PUNCT I-VP O
в ADP B-NP O
паспортах NOUN I-NP O
могут VERB B-VP O
появится VERB I-VP O
отпечатки NOUN B-NP O
пальцев NOUN I-NP O
владельца NOUN I-NP O
. PUNCT B-VP O

Реформа NOUN B-NP O
системы NOUN I-NP O
корпоративного ADJ I-NP O
налогообложения NOUN I-NP O
в ADP I-NP O
Новой ADJ I-NP B-LocOrg
Зеландии PROPN I-NP O
будет AUX B-VP O
проведена VERB I-VP O
