-DOCSTART- -X- -X- O
в ADP I-NP O
этот DET I-NP O
день NOUN I-NP O
дежурило VERB B-VP O
множество NOUN B-NP O
милиционеров NOUN I-NP O
. PUNCT B-ROOT O

Как SCONJ B-ROOT O
известно ADJ I-ROOT O
, PUNCT I-ROOT O
11 NUM I-ROOT O
декабря NOUN B-NP O
на ADP I-NP O
площадь NOUN I-NP O
вырвались VERB B-VP O
до ADP B-NP O
6 NUM I-NP O
тысяч NOUN I-NP O
националистов NOUN I-NP O
и CCONJ I-NP O
футбольных ADJ I-NP O
фанатов NOUN I-NP O
, PUNCT B-VP O
устроивших VERB I-VP O
погромы NOUN B-NP O
. PUNCT B-ROOT O

Сегодня ADV B-VP O
на ADP B-NP O
Кронштадтском ADJ I-NP B-Location
бульваре NOUN I-NP I-Location
не PART B-VP O
было VERB I-VP O
почти ADV B-NP O
никакой DET I-NP O
символики NOUN I-NP O
. PUNCT B-VP O

Единственный ADJ B-NP O
крупный ADJ I-NP O
плакат NOUN I-NP O
, PUNCT B-VP O
который PRON I-VP O
держали VERB I-VP O
собравшиеся VERB I-VP O
, PUNCT B-NP O
был AUX I-NP O
с ADP I-NP O
фотографией NOUN I-NP O
Свиридова PROPN I-NP B-Person
. PUNCT I-NP O

На ADP B-ROOT O
нем PRON I-ROOT O
надпись NOUN B-NP O
– PROPN B-ROOT O
« PROPN B-NP O
40 NUM I-NP O
дней NOUN I-NP O
без ADP B-ROOT O
Егора PROPN I-ROOT B-Person
» PROPN I-ROOT O
. PUNCT I-ROOT O

« NOUN B-NP O
Смерть PROPN B-VP O
Егора PROPN I-VP B-Person
стала VERB I-VP O
переломным ADJ B-NP O
моментом NOUN I-NP O
, PUNCT B-VP O
когда SCONJ I-VP O
люди NOUN B-NP O
, PUNCT I-NP O
не PART B-VP O
боясь VERB I-VP O
, PUNCT I-VP O
говорят VERB I-VP O
: PUNCT I-VP O
“ PROPN I-VP O
Нам PRON I-VP O
надоело VERB I-VP O
терпеть VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
нас PRON I-VP O
убивают VERB I-VP O
на ADP B-NP O
нашей DET I-NP O
собственной ADJ I-NP O
земле NOUN I-NP O
” PROPN B-VP O
, PUNCT I-VP O
– NOUN B-NP O
сказал VERB B-VP O
в ADP B-NP O
беседе NOUN I-NP O
с ADP I-NP O
корреспондентом NOUN I-NP O
« PROPN B-VP O
Голоса PROPN I-VP B-Org
Америки PROPN I-VP B-LocOrg
» PROPN B-NP O
лидер NOUN I-NP O
Движения PROPN I-NP B-Org
против ADP I-NP O
нелегальной ADJ I-NP O
иммиграции NOUN I-NP O
Александр PROPN I-NP B-Person
Белов PROPN I-NP I-Person
. PUNCT B-VP O
" PROPN I-VP O

Эх INTJ B-NP O
, PUNCT I-NP O
яблочко NOUN I-NP O
" PROPN I-NP O
... PROPN I-NP O
Кроме ADP I-NP O
сторонников NOUN I-NP O
ДПНИ PROPN I-NP B-Org
, PUNCT I-NP O
к ADP I-NP O
Кронштадтскому ADJ I-NP B-Location
бульвару NOUN I-NP I-Location
хотели VERB B-VP O
прийти VERB I-VP O
представители NOUN B-NP O
партии NOUN I-NP B-Org
« PROPN B-VP O
Яблоко PROPN I-VP B-Org
» PROPN I-VP O
, PUNCT B-NP O
чтобы SCONJ B-VP O
принять VERB I-VP O
участие NOUN B-NP O
в ADP I-NP O
поминовении NOUN I-NP O
Егора PROPN I-NP B-Person
Свиридова PROPN I-NP I-Person
. PUNCT I-NP O

В ADP B-NP O
итоге NOUN I-NP O
, PUNCT I-NP O
там ADV B-VP O
появились VERB I-VP O
только PART B-NP O
несколько NUM I-NP O
яблочников NOUN I-NP O
, PUNCT B-VP O
включая ADV I-VP O
главу NOUN B-NP O
партии NOUN I-NP O
Сергея PROPN B-VP B-Person
Митрохина PROPN I-VP I-Person
. PUNCT I-VP O

Пробыл VERB B-VP O
он PRON I-VP O
здесь ADV I-VP O
недолго ADV I-VP O
и CCONJ I-VP O
вскоре ADV I-VP O
скрылся VERB I-VP O
под ADP I-VP O
матерные ADJ I-VP O
выкрики NOUN B-NP O
товарищей NOUN I-NP O
и CCONJ I-NP O
сторонников NOUN I-NP O
Егора PROPN I-NP B-Person
Свиридова PROPN I-NP I-Person
. PUNCT B-VP O

Сам ADJ B-VP O
Александр PROPN I-VP B-Person
Белов PROPN I-VP I-Person
оказался VERB I-VP O
более ADV I-VP O
дипломатичным ADJ I-VP O
: PUNCT I-VP O
« NOUN B-NP O
Для ADP I-NP O
нас PRON I-NP O
было AUX I-NP O
несколько NUM I-NP O
неожиданно ADV I-NP O
, PUNCT I-NP O
что SCONJ I-NP O
заявку NOUN I-NP O
( NOUN I-NP O
о ADP I-NP O
том PRON I-NP O
, PUNCT B-VP O
чтобы SCONJ I-VP O
возложить VERB I-VP O
цветы NOUN B-NP O
к ADP I-NP O
месту NOUN I-NP O
гибели NOUN I-NP O
Свиридова PROPN I-NP B-Person
– PROPN I-NP O
В PROPN I-NP B-Person
. PUNCT I-NP O

Л NOUN B-NP B-Person
. PUNCT I-NP O
) NOUN I-NP O

подал VERB B-VP O
по ADP B-NP O
личной ADJ I-NP O
инициативе NOUN I-NP O
советник NOUN I-NP O
руководителя NOUN I-NP O
партии NOUN I-NP B-Org
« PROPN B-VP O
Яблоко PROPN I-VP B-Org
» PROPN I-VP O
Артур PROPN I-VP B-Person
Гороховский ADJ I-VP I-Person
» PROPN I-VP O
. PUNCT I-VP O

« NOUN B-NP O
Это PRON I-NP O
была AUX I-NP O
не PART I-NP O
политическая ADJ I-NP O
акция NOUN I-NP O
, PUNCT B-VP O
но CCONJ I-VP O
, PUNCT I-VP O
конечно ADV I-VP O
, PUNCT I-VP O
она PRON I-VP O
имеет VERB I-VP O
общественное ADJ B-NP O
значение NOUN I-NP O
, PUNCT I-NP O
– NOUN I-NP O
уточнил VERB B-VP O
Белов PROPN I-VP B-Person
. PUNCT B-NP O

– NOUN B-NP O
По ADP I-NP O
договоренности NOUN I-NP O
с ADP I-NP O
ГУВД PROPN I-NP B-Org
было AUX B-VP O
решено VERB I-VP O
не PART I-VP O
устраивать VERB I-VP O
никаких DET B-NP O
маршей NOUN I-NP O
, PUNCT B-VP O
чтобы SCONJ I-VP O
не PART I-VP O
омрачать VERB I-VP O
этот DET B-NP O
день NOUN I-NP O
столкновениями NOUN I-NP O
, PUNCT B-VP O
а CCONJ I-VP O
объявить VERB I-VP O
его PRON I-VP O
днем NOUN B-NP O
памяти NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

« NOUN B-NP O
Смешивать VERB B-VP O
это PRON B-NP O
с ADP I-NP O
какими-то ADJ I-NP O
беспорядками NOUN I-NP O
, PUNCT I-NP O
с ADP I-NP O
давлением NOUN I-NP O
на ADP I-NP O
власть NOUN I-NP O
– PROPN B-ROOT O
сегодня ADV I-ROOT O
, PUNCT I-ROOT O
в ADP B-NP O
этот DET I-NP O
день NOUN I-NP O
, PUNCT I-NP O
не PART B-ROOT O
нужно ADJ I-ROOT O
, PUNCT B-VP O
но CCONJ I-VP O
как SCONJ I-VP O
объединяющий VERB I-VP O
фактор NOUN B-NP O
, PUNCT B-VP O
безусловно ADV I-VP O
, PUNCT I-VP O
это PRON I-VP O
работает VERB I-VP O
» PROPN I-VP O
, PUNCT B-ROOT O
– ADJ I-ROOT O
заключил VERB B-VP O
Белов PROPN B-ROOT B-Person
. PUNCT I-ROOT O

Инициатива NOUN B-NP O
« PROPN I-NP O
Яблока PROPN I-NP B-Org
» PROPN I-NP O
оказалась VERB B-VP O
неожиданной ADJ I-VP O
не PART I-VP O
только PART I-VP O
для ADP I-VP O
Александра PROPN I-VP B-Person
Белова PROPN I-VP I-Person
, PUNCT I-VP O
но CCONJ I-VP O
и PART I-VP O
для ADP I-VP O
его PRON I-VP O
идейного ADJ B-NP O
оппонента NOUN I-NP O
Александра PROPN I-NP B-Person
Брода PROPN I-NP I-Person
, PUNCT I-NP O
известного ADJ I-NP O
борца NOUN I-NP O
с ADP I-NP O
ксенофобией NOUN I-NP O
, PUNCT I-NP O
члена NOUN I-NP O
Общественной ADJ I-NP B-Org
палаты NOUN I-NP I-Org
и CCONJ I-NP O
российско-американской ADJ I-NP B-Org
рабочей ADJ I-NP I-Org
группы NOUN I-NP O
по ADP I-NP O
гражданскому ADJ I-NP O
обществу NOUN I-NP O
. PUNCT B-VP O

« NOUN B-NP O
Меня PRON B-VP O
вообще ADV I-VP O
несколько ADV I-VP O
удивляет VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
фигура NOUN B-NP O
Свиридова PROPN I-NP B-Person
стала VERB B-VP O
использоваться VERB I-VP O
многими ADJ B-NP O
политиками NOUN I-NP O
и CCONJ I-NP O
общественными ADJ I-NP O
деятелями NOUN I-NP O
для ADP I-NP O
своей DET I-NP O
раскрутки NOUN I-NP O
, PUNCT B-VP O
– NOUN B-NP O
сказал VERB B-VP O
Александр PROPN I-VP B-Person
Брод PROPN I-VP I-Person
. PUNCT I-VP O

– NOUN B-NP O
Мне PRON B-ROOT O
было AUX I-ROOT O
удивительно ADJ I-ROOT O
, PUNCT B-NP O
для ADP I-NP O
чего PRON I-NP O
представителям NOUN I-NP O
партии NOUN I-NP B-Org
« PROPN I-NP O
Яблоко PROPN I-NP B-Org
» PROPN B-VP O
было AUX I-VP O
возлагать VERB I-VP O
цветы NOUN B-NP O
к ADP I-NP O
могиле NOUN I-NP O
Свиридова PROPN I-NP B-Person
и CCONJ B-VP O
пытаться VERB I-VP O
выступить VERB I-VP O
. PUNCT B-ROOT O

Очень ADV B-ROOT O
странно ADJ I-ROOT O
, PUNCT B-VP O
что SCONJ I-VP O
некоторые DET B-NP O
представители NOUN I-NP O
демократического ADJ I-NP O
лагеря NOUN I-NP O
даже PART B-VP O
пытались VERB I-VP O
вести VERB I-VP O
переговоры NOUN B-NP O
с ADP B-VP O
ДПНИ PROPN I-VP B-Org
» PROPN I-VP O
. PUNCT B-ROOT O

Напомним VERB B-VP O
, PUNCT B-NP O
что SCONJ I-NP O
прежде ADV I-NP O
в ADP I-NP O
интервью NOUN I-NP O
« PROPN I-NP O
Голосу PROPN I-NP B-Org
Америки PROPN I-NP B-LocOrg
» PROPN I-NP O
Александр PROPN B-VP B-Person
Белов PROPN I-VP I-Person
говорил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
с ADP I-VP O
ним PRON I-VP O
и CCONJ B-NP O
его PRON I-NP O
сторонниками NOUN I-NP O
либералы NOUN I-NP O
не PART B-VP O
готовы ADJ I-VP O
вести VERB I-VP O
диалог NOUN B-NP O
. PUNCT B-VP O

« NOUN B-NP O
Мне PRON B-VP O
кажется VERB I-VP O
, PUNCT I-VP O
– ADV I-VP O
продолжил VERB I-VP O
Брод PROPN I-VP B-Person
, PUNCT I-VP O
– PROPN I-VP O
что SCONJ I-VP O
уже ADV I-VP O
много ADV I-VP O
сказали VERB I-VP O
о ADP I-VP O
Свиридове PROPN I-VP B-Person
, PUNCT B-NP O
о ADP I-NP O
неэффективности NOUN I-NP O
работы NOUN I-NP O
правоохранительных ADJ I-NP O
органов NOUN I-NP O
, PUNCT B-VP O
отдали VERB I-VP O
ему PRON I-VP O
необходимые ADJ I-VP O
почести NOUN B-NP O
, PUNCT B-VP O
но CCONJ I-VP O
делать VERB I-VP O
из ADP B-NP O
этого DET I-NP O
человека NOUN I-NP O
, PUNCT B-VP O
при ADP I-VP O
всем PRON I-VP O
моем DET I-VP O
сострадании NOUN B-NP O
к ADP I-NP O
нему PRON I-NP O
, PUNCT I-NP O
такую DET B-VP O
героическую ADJ I-VP O
, PUNCT I-VP O
мученическую ADJ I-VP O
, PUNCT I-VP O
культовую ADJ B-NP O
фигуру NOUN I-NP O
– PROPN B-VP O
это PRON I-VP O
уже ADV I-VP O
перехлест VERB I-VP O
» PROPN I-VP O
. PUNCT I-VP O

Начнем VERB B-VP O
, PUNCT I-VP O
помолясь VERB I-VP O
Между ADP I-VP O
тем PRON I-VP O
, PUNCT I-VP O
сегодняшнюю ADJ I-VP O
панихиду NOUN B-NP O
по ADP I-NP O
Егору PROPN I-NP B-Person
Свиридову PROPN B-VP I-Person
возглавил VERB I-VP O
протоирей NOUN B-NP O
Всеволод PROPN I-NP B-Person
Чаплин PROPN I-NP I-Person
, PUNCT I-NP O
глава NOUN I-NP O
синодального ADJ I-NP B-Org
Отдела PROPN I-NP I-Org
по ADP I-NP O
взаимоотношениям NOUN I-NP O
Церкви PROPN I-NP B-Org
и CCONJ I-NP O
общества NOUN I-NP O
. PUNCT B-VP O

На ADP B-NP O
панихиде NOUN I-NP O
он PRON B-VP O
призвал VERB I-VP O
к ADP I-VP O
тому PRON I-VP O
, PUNCT I-VP O
чтобы SCONJ I-VP O
« NOUN B-NP O
Россия PROPN B-VP B-LocOrg
жила VERB I-VP O
не PART I-VP O
по ADP B-NP O
законам NOUN I-NP O
джунглей NOUN I-NP O
и CCONJ I-NP O
гор NOUN I-NP O
, PUNCT B-VP O
а CCONJ I-VP O
по ADP I-VP O
божьему ADJ I-VP O
и CCONJ B-NP O
человеческим ADJ I-NP O
законам NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

« NOUN B-NP O
Мы PRON B-VP O
знаем VERB I-VP O
, PUNCT I-VP O
как SCONJ I-VP O
опасно ADJ I-VP O
разделение NOUN B-NP O
людей NOUN I-NP O
по ADP I-NP O
национальному ADJ I-NP O
признаку NOUN I-NP O
. PUNCT B-VP O

Оно PRON B-VP O
может VERB I-VP O
погубить VERB I-VP O
Россию PROPN I-VP B-LocOrg
, PUNCT I-VP O
лишить VERB I-VP O
нас PRON I-VP O
будущего NOUN B-NP O
. PUNCT B-VP O

Но CCONJ B-VP O
мы PRON I-VP O
точно ADV I-VP O
так ADV I-VP O
же PART I-VP O
знаем VERB I-VP O
, PUNCT I-VP O
как SCONJ I-VP O
опасна ADJ I-VP O
несправедливость NOUN B-NP O
, PUNCT B-VP O
когда SCONJ I-VP O
преступление NOUN B-NP O
остается VERB B-VP O
без ADP B-NP O
наказания NOUN I-NP O
, PUNCT B-VP O
когда SCONJ I-VP O
люди NOUN B-NP O
, PUNCT I-NP O
не PART B-VP O
знающие VERB I-VP O
ни CCONJ B-NP O
стыда NOUN I-NP O
, PUNCT I-NP O
ни CCONJ I-NP O
совести NOUN I-NP O
, PUNCT B-VP O
пытаются VERB I-VP O
сломать VERB I-VP O
нашу DET B-NP O
волю NOUN I-NP O
, PUNCT B-VP O
лишить VERB I-VP O
наш DET B-NP O
народ NOUN I-NP O
его PRON I-NP O
самостоятельности NOUN I-NP O
, PUNCT I-NP O
духовности NOUN I-NP O
, PUNCT I-NP O
свободы NOUN I-NP O
» NOUN I-NP O
, PUNCT I-NP O
– NOUN I-NP O
сказал VERB B-VP O
протоиерей NOUN B-NP O
. PUNCT B-VP O

Вот PART B-VP O
как SCONJ I-VP O
эту DET B-NP O
панихиду NOUN I-NP O
прокомментировал VERB B-VP O
писатель NOUN B-NP O
и CCONJ I-NP O
журналист NOUN I-NP O
Виктор PROPN I-NP B-Person
Шендерович PROPN I-NP I-Person
, PUNCT B-VP O
который PRON I-VP O
26 NUM I-VP O
декабря NOUN B-NP O
провел VERB B-VP O
антифашистский ADJ B-NP O
митинг NOUN I-NP O
против ADP B-VP O
тех DET I-VP O
, PUNCT B-NP O
кто PRON B-VP O
вышел VERB I-VP O
на ADP B-NP O
Манежную ADJ I-NP B-Location
площадь NOUN I-NP I-Location
: PUNCT B-VP O
« NOUN B-NP O
К ADP I-NP O
сожалению NOUN I-NP O
, PUNCT I-NP O
Русская ADJ I-NP B-Org
Православная ADJ I-NP O
Церковь NOUN I-NP B-Org
– PROPN I-NP O
как SCONJ I-NP O
институт NOUN I-NP O
, PUNCT I-NP O
а CCONJ I-NP O
не PART I-NP O
как SCONJ I-NP O
вера NOUN I-NP O
частных ADJ I-NP O
людей NOUN I-NP O
– PROPN B-VP O
уже ADV I-VP O
давно ADV I-VP O
и CCONJ I-VP O
глубоко ADV I-VP O
увязла VERB I-VP O
в ADP B-NP O
политике NOUN I-NP O
, PUNCT I-NP O
и CCONJ I-NP O
ее PRON I-NP O
участие NOUN I-NP O
в ADP I-NP O
таком DET I-NP O
контексте NOUN I-NP O
, PUNCT I-NP O
заодно ADV I-NP O
с ADP I-NP O
ДПНИ PROPN I-NP B-Org
, PUNCT I-NP O
– PROPN I-NP O
это PRON I-NP O
для ADP I-NP O
меня PRON I-NP O
лишнее ADJ I-NP O
подтверждение NOUN I-NP O
того PRON I-NP O
, PUNCT I-NP O
что SCONJ I-NP O
это PRON I-NP O
не PART I-NP O
институт NOUN I-NP O
веры NOUN I-NP O
, PUNCT I-NP O
а CCONJ I-NP O
институт NOUN I-NP O
политического ADJ I-NP O
влияния NOUN I-NP O
» PROPN I-NP O
. PUNCT I-NP O

« NOUN B-NP O
Эта DET I-NP O
панихида NOUN I-NP O
не PART B-VP O
имеет VERB I-VP O
никакого DET B-NP O
отношения NOUN I-NP O
к ADP I-NP O
погибшему NOUN I-NP O
Егору PROPN B-VP B-Person
Свиридову PROPN I-VP I-Person
, PUNCT I-VP O
– PROPN I-VP O
утверждает VERB I-VP O
Виктор PROPN I-VP B-Person
Шендерович PROPN I-VP I-Person
, PUNCT I-VP O
– PROPN I-VP O
мне PRON I-VP O
ничего PRON I-VP O
не PART I-VP O
известно ADJ I-VP O
о ADP B-NP O
его PRON I-NP O
религиозных ADJ I-NP O
взглядах NOUN I-NP O
, PUNCT B-VP O
мне PRON I-VP O
ничего PRON I-VP O
неизвестно ADJ I-VP O
о ADP I-VP O
том PRON I-VP O
, PUNCT B-NP O
что SCONJ I-NP O
он PRON I-NP O
был AUX I-NP O
православным NOUN I-NP O
или CCONJ B-VP O
был AUX I-VP O
убит VERB I-VP O
как SCONJ I-VP O
православный ADJ I-VP O
– NOUN B-NP O
стало VERB B-VP O
быть VERB I-VP O
, PUNCT I-VP O
мы PRON I-VP O
имеем VERB I-VP O
дело NOUN B-NP O
с ADP I-NP O
попыткой NOUN I-NP O
набрать VERB B-VP O
очередные ADJ B-NP O
очки NOUN I-NP O
на ADP B-VP O
националистической ADJ I-VP O
истерике NOUN B-NP O
» PROPN B-VP O
. PUNCT I-VP O

« NOUN B-NP O
К ADP I-NP O
сожалению NOUN I-NP O
, PUNCT I-NP O
Русская ADJ I-NP B-Org
Православная ADJ I-NP O
Церковь NOUN I-NP B-Org
и CCONJ I-NP O
национализм NOUN I-NP O
уже ADV I-NP O
давно ADV I-NP O
связались VERB B-VP O
в ADP B-NP O
нашем DET I-NP O
сознании NOUN I-NP O
в ADP I-NP O
нечто PRON I-NP O
единое ADJ I-NP O
» NOUN I-NP O
, PUNCT I-NP O
– NOUN I-NP O
подытожил VERB B-VP O
Шендерович PROPN I-VP B-Person
. PUNCT B-NP O

Александр NOUN B-NP B-Person
Брод PROPN I-NP I-Person
, PUNCT I-NP O
в ADP I-NP O
свою DET I-NP O
очередь NOUN I-NP O
, PUNCT I-NP O
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
духовным ADJ B-NP O
лидерам NOUN I-NP O
РПЦ PROPN I-NP B-Org
следовало VERB B-VP O
бы PART I-VP O
больше ADV I-VP O
выступать VERB I-VP O
« PROPN B-NP O
с ADP I-NP O
критикой NOUN I-NP O
проявления NOUN I-NP O
расизма NOUN I-NP O
, PUNCT I-NP O
ксенофобии NOUN I-NP O
и CCONJ I-NP O
любых ADJ I-NP O
форм NOUN I-NP O
нетерпимости NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

Брод NOUN B-NP B-Person
напомнил VERB B-VP O
о ADP I-VP O
том PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
не PART I-VP O
так ADV I-VP O
давно ADV I-VP O
в ADP B-NP O
церковных ADJ I-NP O
лавках NOUN I-NP O
можно ADV B-VP O
было AUX I-VP O
купить VERB I-VP O
антисемитскую ADJ B-NP O
литературу NOUN I-NP O
типа NOUN I-NP O
« PROPN B-VP O
Протоколов PROPN I-VP O
сионских ADJ I-VP O
мудрецов NOUN B-NP O
» PROPN B-VP O
. PUNCT I-VP O

Брод NOUN B-NP B-Person
также ADV B-VP O
напомнил VERB I-VP O
о ADP I-VP O
том PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
« PROPN I-VP O
зачастую ADV B-NP O
в ADP I-NP O
выступлениях NOUN I-NP O
воинствующих VERB B-VP O
ксенофобов NOUN B-NP O
затрагиваются VERB B-VP O
интересы NOUN B-NP O
православия NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

Он PRON B-VP O
привел VERB I-VP O
пример NOUN B-NP O
с ADP I-NP O
судебным ADJ I-NP O
процессом NOUN I-NP O
против ADP I-NP O
газеты NOUN I-NP B-Org
« PROPN I-NP O
Русская ADJ I-NP B-Org
правда NOUN I-NP O
» PROPN I-NP O
, PUNCT I-NP O
где ADV I-NP O
, PUNCT I-NP O
по ADP I-NP O
словам NOUN I-NP O
Брода PROPN I-NP B-Person
, PUNCT I-NP O
« PROPN I-NP O
публиковались VERB B-VP O
обвинения NOUN B-NP O
антисемитского ADJ I-NP O
характера NOUN I-NP O
и CCONJ I-NP O
была AUX I-NP O
такая DET I-NP O
трактовка NOUN I-NP O
, PUNCT I-NP O
что SCONJ I-NP O
христианство NOUN I-NP O
– PROPN I-NP O
это PRON I-NP O
религия NOUN I-NP O
, PUNCT B-VP O
насажденная VERB I-VP O
иудеями NOUN B-NP O
, PUNCT B-VP O
для ADP I-VP O
того PRON I-VP O
, PUNCT I-VP O
чтобы SCONJ I-VP O
поработить VERB I-VP O
русских ADJ I-VP O
» NOUN B-NP O
. PUNCT B-VP O

Виктор NOUN B-NP B-Person
Шендерович PROPN I-NP I-Person
вспомнил VERB B-VP O
о ADP B-NP O
черносотенном ADJ I-NP O
движении NOUN I-NP O
, PUNCT B-VP O
когда SCONJ I-VP O
ксенофобские ADJ B-NP O
лозунги NOUN I-NP O
звучали VERB B-VP O
под ADP B-NP O
сопровождение NOUN I-NP O
православных ADJ I-NP O
молитв NOUN I-NP O
, PUNCT B-VP O
и CCONJ I-VP O
сказал VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
такой DET B-NP O
союз NOUN I-NP O
« NOUN I-NP O
опасен ADJ B-VP O
для ADP B-NP O
православия NOUN I-NP O
как SCONJ I-NP O
веры NOUN I-NP O
, PUNCT I-NP O
потому ADV I-NP O
что SCONJ I-NP O
эта DET B-VP O
девальвирует VERB I-VP O
веру NOUN B-NP O
миллионов NOUN I-NP O
отдельных ADJ I-NP O
людей NOUN I-NP O
» PROPN B-VP O
. PUNCT I-VP O

Акции NOUN B-NP O
памяти NOUN I-NP O
Егора PROPN I-NP B-Person
Свиридова PROPN I-NP I-Person
прошли VERB B-VP O
сегодня ADV I-VP O
и PART B-NP O
в ADP I-NP O
других ADJ I-NP O
городах NOUN I-NP O
России PROPN B-VP B-LocOrg
. PUNCT I-VP O

Фернандо PROPN B-VP B-Person
Алонсо PROPN I-VP I-Person
в ADP B-NP O
первый ADJ I-NP O
раз NOUN I-NP O
в ADP I-NP O
своей DET I-NP O
карьере NOUN I-NP O
пилота NOUN I-NP O
Формулы-1 PROPN B-VP O
выиграл VERB I-VP O
Гран-при NOUN B-NP O
Монако PROPN B-VP B-Location
. PUNCT I-VP O

В ADP B-NP O
конце NOUN I-NP O
субботней ADJ I-NP O
классификации NOUN I-NP O
Михаэль PROPN I-NP B-Person
Шумахер PROPN B-VP I-Person
допустил VERB I-VP O
ошибку NOUN B-NP O
в ADP I-NP O
повороте NOUN I-NP O
Раскассэ PROPN B-VP B-Location
( PROPN I-VP O
La PROPN I-VP B-Location
Rascasse PROPN I-VP O
) PROPN I-VP O
, PUNCT I-VP O
заблокировав VERB I-VP O
свои DET I-VP O
колёса NOUN B-NP O
и CCONJ B-VP O
остановившись VERB I-VP O
менее ADV I-VP O
чем SCONJ I-VP O
в ADP B-NP O
метре NOUN I-NP O
от ADP I-NP O
отбойников NOUN I-NP O
. PUNCT B-VP O

Неудачно ADV B-VP O
остановившаяся VERB I-VP O
машина NOUN B-NP O
стала VERB B-VP O
помехой NOUN B-NP O
для ADP I-NP O
быстрых ADJ I-NP O
кругов NOUN I-NP O
многих ADJ I-NP O
гонщиков NOUN I-NP O
, PUNCT B-VP O
включая ADV I-VP O
Фернандо PROPN I-VP B-Person
Алонсо PROPN I-VP I-Person
, PUNCT I-VP O
и CCONJ I-VP O
это PRON I-VP O
вызвало VERB I-VP O
расследование NOUN B-NP O
FIA PROPN B-VP B-Org
. PUNCT I-VP O

Согласно ADP B-NP O
официальному ADJ I-NP O
заявлению NOUN I-NP O
, PUNCT I-NP O
Михаэль PROPN I-NP B-Person
был AUX B-VP O
наказан VERB I-VP O
" PROPN B-NP O
за ADP I-NP O
неспортивное ADJ I-NP O
поведение NOUN I-NP O
" PROPN I-NP O
лишением NOUN I-NP O
всех DET I-NP O
своих DET I-NP O
быстрых ADJ I-NP O
кругов NOUN I-NP O
и CCONJ B-VP O
, PUNCT I-VP O
таким DET B-NP O
образом NOUN I-NP O
, PUNCT I-NP O
стартовал VERB B-VP O
с ADP B-NP O
пит-лейна NOUN I-NP O
с ADP I-NP O
полным ADJ I-NP O
